,Rank & Title,IMDb Rating
202,203.  12 Years a Slave  (2013),8.1
203,204.  Barry Lyndon  (1975),8.1
204,205.  Mad Max: Fury Road  (2015),8.1
205,206.  Network  (1976),8.1
206,207.  Stand by Me  (1986),8.1
207,208.  Million Dollar Baby  (2004),8.1
208,209.  Cool Hand Luke  (1967),8.1
209,210.  Into the Wild  (2007),8.1
210,211.  Ben-Hur  (1959),8.1
211,212.  Hachi: A Dog's Tale  (2009),8.1
212,213.  The Wages of Fear  (1953),8.1
213,214.  Dead Poets Society  (1989),8.1
214,215.  Platoon  (1986),8.1
215,216.  Harry Potter and the Deathly Hallows: Part 2  (2011),8.1
216,217.  Monty Python's Life of Brian  (1979),8.1
217,218.  Logan  (2017),8.0
218,219.  Rush  (2013),8.0
219,220.  Rififi  (1955),8.0
220,221.  The Passion of Joan of Arc  (1928),8.0
221,222.  The Handmaiden  (2016),8.0
222,223.  Andrei Rublev  (1966),8.0
223,224.  The 400 Blows  (1959),8.0
224,225.  Hotel Rwanda  (2004),8.0
225,226.  Spotlight  (2015),8.0
226,227.  Amores Perros  (2000),8.0
227,228.  Rang De Basanti  (2006),8.0
228,229.  Nausicaä of the Valley of the Wind  (1984),8.0
229,230.  La Haine  (1995),8.0
230,231.  Rocky  (1976),8.0
231,232.  Gangs of Wasseypur  (2012),8.0
232,"233.  Monsters, Inc.  (2001)",8.0
233,234.  Rebecca  (1940),8.0
234,235.  Portrait of a Lady on Fire  (2019),8.0
235,236.  Before Sunset  (2004),8.0
236,237.  The Circus  (1928),8.0
237,238.  It Happened One Night  (1934),8.0
238,239.  In the Mood for Love  (2000),8.0
239,"240.  Paris, Texas  (1984)",8.0
240,241.  Drishyam  (2015),8.0
241,242.  The Invisible Guest  (2016),8.0
242,243.  The Help  (2011),8.0
243,244.  The Princess Bride  (1987),8.0
244,245.  The Terminator  (1984),8.0
245,246.  The Battle of Algiers  (1966),8.0
246,247.  A Silent Voice: The Movie  (2016),8.0
247,248.  Throne of Blood  (1957),8.0
248,249.  Swades  (2004),8.0
249,250.  Munna Bhai M.B.B.S.  (2003),8.0
